block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,Type,direction,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.8328021,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,0,0,41,196.1553028,198.1558736,a,1,1.5832299,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.63243718,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,1,1,19,200.6385886,202.6392914,d,1,1.5923936,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.419315371,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,2,2,38,205.1223235,207.1351386,a,1,1.0579827,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.625212421,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,3,3,24,209.6343432,211.6338154,s,1,0.8384044,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.249190077,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,4,4,16,214.1493921,216.1485095,f,1,0.7408651,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.939662107,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,5,5,21,218.6646834,,a,1,0.7795666,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.072914577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,6,6,3,223.1795836,,d,1,1.3806454,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.583196525,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,7,7,44,227.6949056,229.6935349,d,1,0.8891815,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.01936095,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,8,8,2,232.1938455,,s,1,1.2886618,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,9,9,23,236.7084649,238.7079038,f,1,0.7680656,P4,2023-06-09_10h21.24.679,StroopExp,2022.2.5,59.9935087
