block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.keys,key_stroop.corr,key_stroop.rt,key_stroop.stopped,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.15319618406080382,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,0,0,31,229.31322189999992,s,1,1.1803566000016872,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.4930182611236916,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,1,1,7,233.82779179999852,d,1,1.0395521999998891,235.82724899999812,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.5794916014066622,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,2,2,47,238.3433002999991,a,1,0.8702252000002773,240.34297929999957,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.019360950480176498,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,3,3,2,242.84218490000057,s,1,1.1688351000011608,244.840931499999,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.45159790316989123,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,4,4,22,247.33997810000074,d,1,0.9427563999997801,249.33950829999958,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.5831965246907577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,5,5,44,251.8552684999995,d,1,0.9830935000027239,253.85541060000105,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.7296842337577286,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,6,6,29,256.3386963000012,a,1,1.0127190999992308,258.33883250000144,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.19133216126723684,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,7,7,43,260.8355057000008,s,1,1.3372680000029504,262.8348284999993,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.25693203245358776,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,8,8,30,265.350512099998,d,1,1.3871407999977237,267.35010279999915,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.35032813659302076,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,9,9,20,269.86549920000107,s,1,1.521849499997188,271.8650971999996,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.2518748957010212,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,10,10,37,274.3643198999998,d,1,1.6291693000021041,276.3633136999997,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.9718580164963233,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,11,11,0,278.87953189999826,a,1,0.9357579999996233,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.004767373540519926,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,12,12,14,283.3942973000012,s,1,1.4450316000002204,285.3937789999982,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.674408475762876,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,13,13,26,287.89330490000066,f,1,1.0827958000008948,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.5480879446861618,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,14,14,32,292.40815870000006,f,1,1.1313282999981311,294.40722639999876,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.5430706368691302,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,15,15,1,296.9233839000008,f,1,1.0900829999991402,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.870406961301538,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,16,16,11,301.4230759999991,f,1,0.9538757000009355,303.422726599998,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.9396621068767484,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,17,17,21,305.90626300000076,a,1,0.9170852999995986,307.9059195000009,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.6252124205445847,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,18,18,24,310.4021326000002,s,1,1.4712518000014825,312.40109630000006,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.9350978434171133,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,19,19,17,314.9173230000015,a,0,1.15790719999859,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.07711709789910381,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,20,20,35,319.4323822000006,a,1,1.3787644000003638,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.832802100155878,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,21,21,41,323.94831239999985,a,1,1.6542903000008664,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b1,stroop_trial_condtions/b1.xlsx,0.7445649241064577,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,22,22,42,328.4631020000015,None,0,,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
