block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.9718580164963233,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,0,0,0,526.6954613999999,528.6952303999999,a,1,0.9208419000000276,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.9366695365255577,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,1,1,34,531.2108822,533.2103368,f,1,1.128341999999975,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.07711709789910381,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,2,2,35,535.7256977,537.7252586,a,1,1.4948994000000084,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.4930182611236916,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,3,3,7,540.2412042000001,,d,1,1.6099186999999802,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.5794916014066622,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,4,4,47,544.7560470999999,546.7554636,a,1,0.8479862000000367,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.8309483305278348,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,5,5,46,549.2546582,551.2541891999999,s,1,1.8927945000000364,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.632437180452533,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,6,6,19,553.7699831,555.7693323999999,d,1,1.2094723000000158,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.7336815417486652,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,7,7,15,558.2849448,560.283842,s,1,1.6054552000000513,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.680507855371767,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,8,8,33,562.8005217,564.8009975,f,1,1.1765713999999434,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.6604351330374253,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,9,9,4,567.2841387000001,569.2842111,s,1,1.2923647000000074,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.8969522657404946,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,10,10,25,571.7805777000001,573.7804603,None,0,,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.7089760381977726,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,11,11,8,576.2956038,578.2955801,s,1,1.19920419999994,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.9396621068767484,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,12,12,21,580.8105072000001,582.8103607999999,a,1,1.207934699999896,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.41931537120590046,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,13,13,38,585.3098292,,a,1,0.9050888000000441,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.9350978434171133,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,14,14,17,589.8242151,,d,1,1.5105968000000303,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.5831965246907577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,15,15,44,594.3396459999999,,d,1,1.4476142000000891,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
b1,stroop_trial_condtions/b1.xlsx,0.674408475762876,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,16,16,26,598.8549373000001,,f,1,1.3000632000000678,P13,2023-06-16_15h30.30.392,StroopExp,2022.2.5,59.84855920578157,
