block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,Type,direction,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.8328021,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,0,0,41,127.4792406,129.481329,a,1,1.1351464,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.072914577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,1,1,3,131.9790034,,d,1,1.6476689,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.68696849,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,2,2,45,136.4928111,138.4924793,f,1,0.8057236,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.708976038,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,3,3,8,140.991628,142.990643,s,1,0.8879338,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.936669537,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,4,4,34,145.5064422,147.5061397,f,1,0.9276904,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.976569181,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,5,5,39,149.9897074,151.9895849,d,1,1.028778,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.237396997,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,6,6,18,154.4730855,156.4862361,d,1,1.382635,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.153196184,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,7,7,31,158.9852981,160.9849986,s,1,0.8703983,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.830948331,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,8,8,46,163.4844952,,s,1,0.895804,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
b1,stroop_trial_condtions/b1.xlsx,0.674408476,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,9,9,26,167.998963,169.999343,f,1,0.9490888,P6,2023-06-09_13h41.47.888,StroopExp,2022.2.5,60.01097001
