block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.35032813659302076,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,0,0,20,473.67423649999546,475.674399600015,s,1,1.228401300002588,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.23739699734220088,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,1,1,18,478.157495499996,480.15785469999537,d,1,1.5728680999891367,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.632437180452533,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,2,2,19,482.6575981999922,484.67437049999717,d,1,1.9250339999853168,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.9396621068767484,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,3,3,21,487.1695047999965,489.169553899992,a,1,1.0889747000182979,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.004767373540519926,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,4,4,14,491.66804829999455,493.66746389999753,s,1,1.4522598000185098,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.15319618406080382,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,5,5,31,496.18494130001636,,s,1,1.6077741000044625,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.9718580164963233,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,6,6,0,500.6984297000163,,a,1,1.077795999997761,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.25693203245358776,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,7,7,30,505.21335080001154,507.21304470000905,None,0,,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.19939336354685822,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,8,8,23,509.7280940999917,511.727644300001,f,1,1.0363718000007793,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
b1,stroop_trial_condtions/b1.xlsx,0.6478411009005055,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,9,9,6,514.2267999000032,516.2267267999996,a,1,1.4092674999847077,P10,2023-06-12_15h50.09.533,StroopExp,2022.2.5,60.16275228407457,
