block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,Type,direction,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,0,0,23,213.2845567,215.284544,f,1,1.2631617,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.583196525,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,1,1,44,217.8001786,219.7999772,d,1,1.1164552,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.625212421,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,2,2,24,222.2987087,224.2981007,s,1,1.0784321,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.935097843,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,3,3,17,226.8138561,228.8131559,d,1,1.4874459,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.571650714,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,4,4,5,231.2967559,233.2968611,a,1,1.2767346,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.936669537,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,5,5,34,235.7969869,237.7973063,f,1,1.188066,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.729684234,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,6,6,29,240.3090043,242.3086055,a,1,1.1259436,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.027168618,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,7,7,27,244.8244937,246.8236124,f,1,1.3365913,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.579491601,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,8,8,47,249.3393681,251.338791,a,1,1.2544263,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.667196906,0,incongruent,RED,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,9,9,36,253.8379482,255.837315,s,1,1.7630524,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.249190077,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,10,10,16,258.3532793,260.3523868,f,1,1.2775971,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
b1,stroop_trial_condtions/b1.xlsx,0.870406961,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,11,11,11,262.8514277,264.8502906,f,1,0.9917885,P9,2023-06-09_16h45.57.957,StroopExp,2022.2.5,60.02563094
