block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.451597903,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,0,0,22,1904.43718,1906.437123,d,1,1.0073483,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.571650714,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,4,4,4,0,1,1,5,1908.937337,,a,1,0.8710876,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.870406961,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,2,2,11,1913.448722,1915.448276,f,1,0.7325384,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,3,3,23,1917.96408,1919.963335,f,1,0.584335,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.729684234,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,4,4,4,0,4,4,29,1922.47853,1924.478426,a,1,0.9119325,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.237396997,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,5,5,18,1926.977775,1928.977109,d,1,0.933028,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.583196525,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,6,6,44,1931.475868,1933.4759,d,1,0.9023308,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.543070637,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,7,7,1,1935.991244,1937.990302,f,1,0.8007965,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.708976038,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,8,8,8,1940.489828,,s,1,0.7345937,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.680507855,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,9,9,33,1945.004357,1947.004247,f,1,0.8498119,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.251874896,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,10,10,37,1949.487911,1951.487972,d,1,1.4101984,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.674408476,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,11,11,26,1953.971445,1955.97157,f,1,0.7406836,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.579491601,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,12,12,47,1958.467189,,a,1,0.8191714,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.971858016,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,13,13,0,1962.981892,1964.981576,a,1,0.6168873,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.870893567,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,14,14,9,1967.49751,,a,1,0.5191845,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.153196184,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,4,4,4,0,15,15,31,1972.0125,1974.011619,s,1,1.3356442,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.01936095,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,4,4,4,0,16,16,2,1976.511059,,s,1,0.5757499,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.191332161,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,17,17,43,1981.026224,1983.025359,s,1,0.5574117,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.667196906,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,4,4,4,0,18,18,36,1985.525165,,s,1,1.332468,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.922953448,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,19,19,40,1990.039374,1992.038782,a,1,0.7187624,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.939662107,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,20,20,21,1994.555013,1996.55525,a,1,0.6830433,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.936669537,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,21,21,34,1999.038663,2001.038833,f,1,0.7159722,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.8328021,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,4,4,4,0,22,22,41,2003.51842,2005.517585,a,1,0.7719002,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.072914577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,23,23,3,2008.050071,2010.049237,d,1,0.6084615,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.976569181,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,24,24,39,2012.565513,2014.564282,d,1,0.8244153,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.896952266,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,25,25,25,2017.063677,2019.063205,d,1,1.2827156,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.647841101,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,4,4,4,0,26,26,6,2021.562668,,a,1,0.895658,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.004767374,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,4,4,4,0,27,27,14,2026.060919,2028.060255,s,1,1.2735567,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.63243718,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,28,28,19,2030.57628,2032.575302,d,1,1.0019192,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.548087945,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,29,29,32,2035.074389,2037.073702,f,1,0.8262598,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.350328137,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,30,30,20,2039.573143,2041.57246,s,1,1.0828512,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.419315371,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,31,31,38,2044.055866,2046.056294,a,1,0.7459531,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.830948331,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,4,4,4,0,32,32,46,2048.556305,,s,1,1.2341742,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.077117098,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,4,4,4,0,33,33,35,2053.051462,2055.05081,a,1,0.809228,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.401782254,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,4,4,4,0,34,34,12,2057.566913,2059.566325,a,1,1.1047966,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
b1,stroop_trial_condtions/b1.xlsx,0.542994022,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,35,35,28,2062.06541,2064.065118,f,1,0.9044474,P17,2023-06-27_13h52.29.421,StroopExp,2022.2.5,59.96163655
