block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.keys,key_stroop.corr,key_stroop.rt,key_stroop.stopped,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.63243718,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,0,0,19,1744.286541,d,1,1.3742203,1746.286021,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.896952266,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,1,1,25,1748.784835,d,1,0.5494702,1750.784509,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.708976038,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,2,2,8,1753.28343,s,1,0.7113558,,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.680507855,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,3,3,33,1757.798327,f,1,0.8269337,1759.79737,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.493018261,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,4,4,7,1762.313741,d,1,1.4461148,1764.313457,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.548087945,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,5,5,32,1766.812143,f,1,0.6891994,1768.811909,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.647841101,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,4,4,4,0,6,6,6,1771.311055,a,1,0.784273,,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.870406961,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,7,7,11,1775.809305,f,1,0.7691065,1777.808401,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.733681542,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,4,4,4,0,8,8,15,1780.308707,s,1,0.8208457,1782.308676,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.237396997,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,9,9,18,1784.808683,d,1,0.8173612,1786.808763,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.542994022,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,10,10,28,1789.304362,f,1,0.7528879,1791.304167,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.68696849,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,11,11,45,1793.81968,f,1,0.5697015,1795.819302,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.419315371,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,12,12,38,1798.334736,a,1,0.7257004,1800.334179,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.729684234,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,4,4,4,0,13,13,29,1802.850295,a,1,1.6319654,1804.849574,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.744564924,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,14,14,42,1807.364355,s,1,0.7900327,1809.364707,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.935097843,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,15,15,17,1811.880274,d,1,1.0730262,1813.879818,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.077117098,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,4,4,4,0,16,16,35,1816.395428,a,1,1.7924947,1818.394732,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.249190077,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,17,17,16,1820.910521,f,1,0.9582968,1822.909995,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.401782254,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,4,4,4,0,18,18,12,1825.425489,a,1,0.9039086,1827.425472,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.256932032,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,19,19,30,1829.909454,d,1,1.1599075,1831.909606,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.976942146,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,20,20,13,1834.409677,d,1,0.721437,1836.422234,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.660435133,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,21,21,4,1838.904495,s,1,1.3048171,1840.903567,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.583196525,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,22,22,44,1843.436261,d,1,0.8530113,1845.43593,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.830948331,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,4,4,4,0,23,23,46,1847.951494,s,1,0.7312133,1849.950619,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.543070637,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,24,24,1,1852.4498,f,1,0.8207935,1854.449168,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.01936095,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,4,4,4,0,25,25,2,1856.964977,s,1,1.1738422,1858.964287,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.8328021,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,4,4,4,0,26,26,41,1861.479945,a,1,0.6173654,1863.479763,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.579491601,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,27,27,47,1865.978583,a,1,0.7284957,1867.978307,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.983636333,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,28,28,10,1870.476945,f,1,1.2343674,1872.476103,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.153196184,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,4,4,4,0,29,29,31,1874.976174,s,1,1.0132088,1876.97634,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.939662107,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,30,30,21,1879.459706,a,1,0.7513279,1881.460268,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.870893567,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,31,31,9,1883.955819,a,1,0.6674154,1885.95511,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.191332161,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,32,32,43,1888.470839,s,1,1.2835014,1890.470638,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.072914577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,33,33,3,1892.969491,d,1,0.7360621,1894.96885,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.667196906,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,4,4,4,0,34,34,36,1897.467661,s,1,1.1134877,1899.46701,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.936669537,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,35,35,34,1901.98234,f,1,1.0780522,1903.982014,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.625212421,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,36,36,24,1906.498615,s,1,1.2624799,,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.451597903,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,37,37,22,1911.013677,d,1,0.8738142,,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.971858016,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,38,38,0,1915.528664,a,1,0.783518,1917.527852,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.571650714,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,4,4,4,0,39,39,5,1920.027314,a,1,0.8139578,1922.02722,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.027168618,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,40,40,27,1924.527332,f,1,1.8341084,1926.527236,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.004767374,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,4,4,4,0,41,41,14,1929.027352,s,1,0.7256803,,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.976569181,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,42,42,39,1933.539085,d,1,1.0361934,1935.538545,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.251874896,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,43,43,37,1938.054243,d,1,0.5828743,1940.053475,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.922953448,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,44,44,40,1942.569003,a,1,0.713338,1944.568981,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.350328137,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,45,45,20,1947.084606,s,1,1.3417199,,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.674408476,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,46,46,26,1951.599704,f,1,1.0528122,1953.59896,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,47,47,23,1956.098226,f,1,0.6848261,,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b2,stroop_trial_condtions/b2.xlsx,0.813514666,1,incongruent,GREEN,red,a,distractors/3.wav,,,,,0,1,1,1,0,0,0,40,831.5955725,a,1,1.0565661,833.61839,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
b2,stroop_trial_condtions/b2.xlsx,0.329333187,1,incongruent,YELLOW,green,s,distractors/2.wav,,,,,0,1,1,1,0,1,1,6,836.0792179,s,1,1.140723,838.0792288,P18,2023-06-27_14h51.40.061,StroopExp,2022.2.5,60.22180897
