block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.708976038,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,0,0,8,230.9305299,232.9306087,s,1,1.1740376,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.350328137,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,1,1,20,235.4306386,,s,1,1.096735,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.647841101,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,2,2,6,239.9428191,241.9417272,a,1,1.4508333,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.935097843,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,3,3,17,244.4578662,246.4578807,d,1,1.1677325,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.542994022,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,4,4,28,248.9563118,250.9557067,f,1,1.1545013,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.251874896,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,5,5,37,253.4711559,255.4709752,s,0,1.409925,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.493018261,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,6,6,7,257.9858877,259.9861219,d,1,1.3029601,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.01936095,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,7,7,2,262.5014162,264.5015625,None,0,,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.63243718,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,8,8,19,267.0167028,269.015992,d,1,1.471284,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.191332161,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,9,9,43,271.5316174,273.5313104,s,1,1.2241663,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.237396997,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,10,10,18,276.0312408,278.0313705,d,1,1.2129558,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.625212421,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,11,11,24,280.5477121,282.5477842,s,1,1.1346217,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.939662107,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,12,12,21,285.0441767,287.0430824,a,1,0.9854068,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.077117098,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,13,13,35,289.5589273,291.5582793,a,1,1.3125915,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.830948331,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,14,14,46,294.0738427,296.0733693,s,1,1.4491786,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.249190077,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,15,15,16,298.5724071,300.5718609,f,1,1.1216045,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.571650714,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,0,0,0,0,16,16,5,303.0868449,305.0868976,a,1,1.2926543,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
b1,stroop_trial_condtions/b1.xlsx,0.8328021,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,17,17,41,307.603059,309.6023332,a,1,1.1131721,P2,2023-06-08_15h10.16.156,StroopExp,2022.2.5,59.80110154
