block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.01936095,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,4,4,4,0,0,0,2,1435.753598,,s,1,1.4180856,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.870893567,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,1,1,9,1440.26865,1442.26791,a,1,0.8865248,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.870406961,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,2,2,11,1444.767376,1446.766696,f,1,1.1079329,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.976569181,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,3,3,39,1449.266364,1451.265516,d,1,1.2292116,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.153196184,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,4,4,4,0,4,4,31,1453.749306,1455.748918,s,1,1.3524752,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.350328137,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,5,5,20,1458.249201,,s,1,1.0424564,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.744564924,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,6,6,42,1462.76129,1464.760598,s,1,0.7623826,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.68696849,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,7,7,45,1467.276327,1469.275616,f,1,1.0748824,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.251874896,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,8,8,37,1471.791711,1473.790892,d,1,1.6782898,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
b1,stroop_trial_condtions/b1.xlsx,0.451597903,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,9,9,22,1476.306378,1478.305887,d,1,1.0668121,P24,2023-06-27_11h40.18.591,StroopExp,2022.2.5,60.16231793
