block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.63243718,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,0,0,19,409.0217941,411.0263498,d,1,1.2659986,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,1,1,23,413.519916,415.5194877,f,1,0.690526,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.237396997,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,2,2,18,418.0183621,420.0180215,d,1,0.892954,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.647841101,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,3,3,6,422.5337847,424.5331456,a,1,0.5690977,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.870406961,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,4,4,11,427.0326864,,f,1,0.7507923,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.027168618,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,5,5,27,431.5472702,433.5467935,f,1,0.77521,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.256932032,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,6,6,30,436.0470245,438.0466917,d,1,0.6181444,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.191332161,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,7,7,43,440.5303015,442.5304176,s,1,0.9426622,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.744564924,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,8,8,42,445.0264117,447.0253042,s,1,0.6688701,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.072914577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,9,9,3,449.5249861,451.5238199,d,1,0.9502086,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.660435133,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,10,10,4,454.0399815,456.0393779,s,1,0.8383683,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.667196906,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,11,11,36,458.5383375,460.5381402,s,1,0.87418,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.401782254,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,0,0,0,0,12,12,12,463.0368066,465.0365019,a,1,0.5536958,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.350328137,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,13,13,20,467.5352739,469.5357957,s,1,0.9795625,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.896952266,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,14,14,25,472.0358748,,d,1,0.5029057,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.004767374,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,15,15,14,476.5489849,478.5485123,s,1,0.751296,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.579491601,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,16,16,47,481.0639717,483.0642482,a,1,0.8045745,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.976942146,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,17,17,13,485.5476918,487.5478577,d,1,0.7170919,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.936669537,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,18,18,34,490.047941,492.0604973,f,1,0.6674432,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.249190077,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,19,19,16,494.5600385,496.558963,f,1,0.650733,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.976569181,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,20,20,39,499.0745738,501.0736619,d,1,1.1737924,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.971858016,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,21,21,0,503.5731262,505.5723485,a,1,0.6763715,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.68696849,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,22,22,45,508.0881984,510.087838,f,1,0.5082319,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.922953448,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,23,23,40,512.5870492,514.5862533,a,1,0.5584941,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.680507855,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,24,24,33,517.0852149,519.0847158,f,1,0.6957281,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.01936095,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,25,25,2,521.6005506,523.5998564,s,1,0.7841887,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.625212421,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,26,26,24,526.1156436,528.115079,s,1,0.6272832,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.153196184,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,27,27,31,530.6151565,532.6152725,s,1,0.5325534,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
b1,stroop_trial_condtions/b1.xlsx,0.251874896,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,28,28,37,535.1149161,537.1151742,d,1,0.7173764,P15,2023-06-26_15h45.04.209,StroopExp,2022.2.5,59.12181636
