block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.8328021,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,4,4,4,0,0,0,41,1589.424584,,a,1,1.0701647,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.63243718,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,1,1,19,1593.939142,1595.938598,d,1,1.3159615,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.744564924,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,2,2,42,1598.437357,1600.437131,s,1,1.1404659,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.401782254,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,4,4,4,0,3,3,12,1602.952509,1604.95211,a,1,1.3453385,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.01936095,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,4,4,4,0,4,4,2,1607.467603,1609.467719,s,1,1.388206,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.708976038,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,5,5,8,1611.951055,1613.951196,s,1,0.99125,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.493018261,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,6,6,7,1616.451012,1618.451161,d,1,1.0751046,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.451597903,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,7,7,22,1620.946457,1622.946201,d,1,1.0598905,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.870893567,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,8,8,9,1625.461856,1627.461308,a,1,1.0920111,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.733681542,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,4,4,4,0,9,9,15,1629.976324,1631.976142,s,1,1.2805597,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.830948331,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,4,4,4,0,10,10,46,1634.492185,1636.491801,s,1,1.0460022,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,11,11,23,1638.990559,1640.989942,f,1,1.141518,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.579491601,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,4,4,4,0,12,12,47,1643.472214,1645.471608,a,1,0.8661836,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.072914577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,13,13,3,1648.004255,1650.003476,d,1,1.1981842,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.543070637,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,14,14,1,1652.502628,1654.502211,f,1,1.1332495,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.191332161,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,4,4,4,0,15,15,43,1657.002,1659.001676,s,1,1.2705909,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.153196184,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,4,4,4,0,16,16,31,1661.485202,1663.484926,s,1,1.0666423,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.936669537,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,4,4,4,0,17,17,34,1665.981595,1667.98113,f,1,1.1827998,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
b1,stroop_trial_condtions/b1.xlsx,0.976942146,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,4,4,4,0,18,18,13,1670.479744,1672.479855,d,1,1.1286068,P20,2023-06-28_11h17.58.015,StroopExp,2022.2.5,59.61266078
