block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.24919007739364696,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,0,0,16,419.98655010000004,421.99081750000005,f,1,0.8556770999999799,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.6478411009005055,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,1,1,6,424.4846781,426.4840269,a,1,0.973553700000025,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.35032813659302076,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,2,2,20,428.9998098,430.9989656,s,1,1.719049899999959,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.632437180452533,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,3,3,19,433.49840459999996,,d,1,1.7378759000000628,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.8309483305278348,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,4,4,46,438.01405850000003,,s,1,1.1091996999999765,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.9718580164963233,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,5,5,0,442.5285103,444.5279131,a,1,0.8622677999999269,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.004767373540519926,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,6,6,14,447.02712899999995,449.02653069999997,s,1,0.9170381000000134,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.5794916014066622,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,7,7,47,451.52615160000005,453.5264723,a,1,0.8678550999999288,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.6671969061834688,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,8,8,36,456.00941520000003,458.0096824,s,1,1.1947940999999673,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.07711709789910381,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,9,9,35,460.5227522,462.52199210000003,a,1,0.9539155999999593,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
b1,stroop_trial_condtions/b1.xlsx,0.7445649241064577,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,10,10,42,465.02091529999996,467.0204827,s,1,1.0165570000000343,P8,2023-06-09_15h43.21.867,StroopExp,2022.2.5,59.9842241490409,
