block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.19133216126723684,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,0,0,43,395.7749395000001,397.7745219000001,s,1,0.8783849999999802,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.8969522657404946,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,1,1,25,400.28996970000003,402.28905340000006,d,1,1.0133522000000994,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.45159790316989123,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,2,2,22,404.7879407999999,406.7875623,d,1,0.9136074000000463,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.9765691810900071,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,3,3,39,409.28674750000005,411.2857423999999,d,1,0.9987966999999571,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.07711709789910381,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,4,4,35,413.7857317999999,415.7855698000001,a,1,0.8779452000001129,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.7296842337577286,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,5,5,29,418.26924529999997,420.28249329999994,a,1,0.7022481000001335,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.6478411009005055,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,6,6,6,422.7651034999999,424.76446480000004,a,1,0.7265798000000814,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.9836363330757953,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,7,7,10,427.26368219999995,429.2632758,f,1,1.3277917000000343,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.6604351330374253,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,8,8,4,431.7790783999999,433.77837569999997,s,1,1.262430600000016,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.6869684900918854,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,9,9,45,436.2941897999999,438.29377249999993,f,1,1.129110300000093,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.9350978434171133,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,10,10,17,440.8094584999999,,d,1,0.8295255999998972,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.019360950480176498,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,11,11,2,445.3242444,447.3238059999999,s,1,0.9110977999998795,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.23739699734220088,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,12,12,18,449.8224954,451.82243990000006,d,1,1.2502847000000656,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.674408475762876,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,13,13,26,454.3380150999999,456.3375765999999,f,1,0.975604199999907,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.8708935669205526,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,14,14,9,458.8534262999999,460.8530788999999,a,1,1.0505126000000473,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.5831965246907577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,15,15,44,463.3529146000001,465.3533348000001,d,1,0.9251423999999133,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.15319618406080382,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,16,16,31,467.8531826000001,469.8698428,s,1,0.6503854000000047,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.9366695365255577,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,17,17,34,472.3653858,474.3649703000001,f,1,1.016564600000038,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.7445649241064577,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,18,18,42,476.8803823999999,478.88030679999997,s,1,1.151133100000152,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.7336815417486652,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,19,19,15,481.3789133,483.3781263000001,s,1,0.7118669000001319,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.680507855371767,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,20,20,33,485.89404390000004,487.8932041999999,f,1,0.9833929000001262,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.5480879446861618,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,21,21,32,490.39253899999994,492.39246090000006,f,1,0.7426839999998265,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.9718580164963233,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,22,22,0,494.90762240000004,496.90735670000004,a,1,0.7912393999999949,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.6252124205445847,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,23,23,24,499.4228608000001,501.42243800000006,s,1,0.8859679000001961,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.832802100155878,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,24,24,41,503.93797240000004,505.9373475,a,1,0.9455183000000034,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.870406961301538,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,25,25,11,508.4365837,510.43709020000006,f,1,0.6888157999999294,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.2518748957010212,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,26,26,37,512.9372590999999,514.9372406,d,1,0.7520543000000544,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.0729145768917061,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,27,27,3,517.4335421999999,519.4322576,d,1,0.7666535999999269,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.922953448054004,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,28,28,40,521.9318393000001,523.9315584000001,a,1,0.8051531000000978,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.632437180452533,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,29,29,19,526.4298411,528.4296049,d,1,0.8634926999998243,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.19939336354685822,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,30,30,23,530.9454581,532.9448348000001,f,1,0.8761594999998579,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.35032813659302076,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,31,31,20,535.4438107999999,537.4429528000001,a,0,1.1338684000002104,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
b1,stroop_trial_condtions/b1.xlsx,0.004767373540519926,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,32,32,14,539.9590509,541.9586165000001,s,1,0.7760783000001084,P5,2023-06-09_11h26.02.781,StroopExp,2022.2.5,59.973539674277966,
